### DATA ###
# |Veicoli| = 2
# No time windows

data;

param fleet_dim := 2;	# numero puro

## Time windows disabilitate e service time nulli

param twlb := 
	STOKEONTRENT	0 
	DERBY 			0
	EASTWOOD 		0
	MANSFIELD 		0
	SHEFFIELD 		0
	STOCKPORT 		0
	PRESTON 		0
	LIVERPOOL		0
	CHESTER 		0
	WARRINGTON		0
;
	
param twub :=
	STOKEONTRENT	24
	DERBY 			24
	EASTWOOD 		24
	MANSFIELD 		24
	SHEFFIELD 		24
	STOCKPORT 		24
	PRESTON 		24
	LIVERPOOL		24
	CHESTER 		24
	WARRINGTON		24
;
	
param q :=
	STOKEONTRENT	500 
	DERBY 			500
	EASTWOOD 		500
	MANSFIELD 		500
	SHEFFIELD 		500
	STOCKPORT 		500
	PRESTON 		500
	LIVERPOOL		500
	CHESTER 		500
	WARRINGTON		500
;
